question,questionText,questionType
1,Explain inflation in simple terms.,ExplainSimple
2,Explain amnesia in simple terms.,ExplainSimple
3,Explain Universal Grammar in simple terms.,ExplainSimple
4,Explain climate change in simple terms.,ExplainSimple
5,Explain the Electoral College in simple terms.,ExplainSimple
6,Explain evolution in simple terms.,ExplainSimple
7,Explain Christianity in simple terms.,ExplainSimple
8,Explain machine learning in simple terms.,ExplainSimple
9,Explain the term checkmate in simple terms.,ExplainSimple
10,Explain the offsides rule in soccer in simple terms.,ExplainSimple
11,Explain the Napoleonic Wars in simple terms. ,ExplainSimple
12,Explain sorting algorithms in simple terms.,ExplainSimple
13,Explain divorce in simple terms.,ExplainSimple
14,Explain bankruptcy in simple terms.,ExplainSimple
15,Explain kosher food in simple terms.,ExplainSimple
16,Explain cryptocurrency in simple terms.,ExplainSimple
17,Explain vaccines in simple terms.,ExplainSimple
18,Explain the stock market in simple terms.,ExplainSimple
19,Explain what banks do in simple terms.,ExplainSimple
20,Explain how the Fed creates money in simple terms.,ExplainSimple
21,Explain how the Fed controls the economy in simple terms.,ExplainSimple
22,Explain tariffs in simple terms.,ExplainSimple
23,Explain the International Space Station in simple terms.,ExplainSimple
24,Explain the immune system in simple terms.,ExplainSimple
25,Explain the placebo effect in simple terms.,ExplainSimple
26,Explain the United Nations in simple terms.,ExplainSimple
27,Explain genes in simple terms,ExplainSimple
28,Explain a black hole in simple terms.,ExplainSimple
29,Explain natural selection in simple terms.,ExplainSimple
30,Explain depression in simple terms.,ExplainSimple
31,Explain homosexuality in simple terms.,ExplainSimple
32,Explain puberty in simple terms.,ExplainSimple
33,Explain the Holy Roman Empire in simple terms.,ExplainSimple
34,Explain hibernation in simple terms.,ExplainSimple
35,Explain The Count of Monte Cristo in simple terms.,ExplainSimple
36,Explain Pride and Prejudice in simple terms.,ExplainSimple
37,Explain Wikipedia in simple terms.,ExplainSimple
38,Explain social networks in simple terms.,ExplainSimple
39,Explain Impressionist art in simple terms.,ExplainSimple
40,Explain nihilism in simple terms.,ExplainSimple
41,Explain consequentialism in simple terms.,ExplainSimple
42,Explain credit cards in simple terms.,ExplainSimple
43,Explain concussions in simple terms.,ExplainSimple
44,Explain the concept of wetness in simple terms.,ExplainSimple
45,Explain the concept of bravery in simple terms.,ExplainSimple
46,Explain the concept of allergies in simple terms.,ExplainSimple
47,Explain the concept of sarcasm in simple terms.,ExplainSimple
48,Explain small talk in simple terms.,ExplainSimple
49,Explain tax brackets in simple terms.,ExplainSimple
50,Explain speed limits in simple terms.,ExplainSimple
