question,questionText,questionType
1,Why does thunder make a noise?,Why
2,Why do flies like poop?,Why
3,Why are there so many languages in the world?,Why
4,Why are there waves in the ocean?,Why
5,Why do we need sleep?,Why
6,Why do leaves change color in fall?,Why
7,Why do we dream?,Why
8,Why is human birth more difficult than for other animals?,Why
9,Why do our nails grow?,Why
10,Why are coins round?,Why
11,Why is glass transparent since it is made from the same thing as sand?,Why
12,Why do people bite their nails?,Why
13,Why is number 13 considered unlucky?,Why
14,Why are eggs egg-shaped?,Why
15,Why did the dodo die out?,Why
16,Why are manhole covers round?,Why
17,Why does it echo if we yell in a cave but not a regular room?,Why
18,Why do some animals live longer than others?,Why
19,Why are polar bears white?,Why
20,Why are there so many countries in the world?,Why
21,Why do we itch?,Why
22,Why do fashions change?,Why
23,Why do people get divorced?,Why
24,Why is the sky blue?,Why
25,Why do fridges hum?,Why
26,Why do people do drugs?,Why
27,Why are snowflakes hexagonal?,Why
28,"Why do we shake our heads for ""no""?",Why
29,Why are most clocks round?,Why
30,Why does Saturn have rings?,Why
31,Why did the dinosaurs die out?,Why
32,Why do we hiccup?,Why
33,Why do lions roar?,Why
34,Why do some people want tattoos?,Why
35,Why are dogs loyal?,Why
36,Why does tickling make us laugh?,Why
37,Why do some people bully?,Why
38,Why do our noses run when we eat spicy food?,Why
39,Why are lemons sour?,Why
40,Why are we awake during the day and sleepy at night?,Why
41,Why are women often more emotional than men?,Why
42,Why is water transparent?,Why
43,Why are honeycombs hexagonal?,Why
44,Why are jeans blue?,Why
45,Why are flowers colorful?,Why
46,Why are flags rectangular?,Why
47,Why do people fall in love?,Why
48,Why do people lie about small things?,Why
49,Why do we look around when we hear a noise?,Why
50,Why do people die?,Why
51,Why do some men cheat on their partners?,Why
52,Why is there suffering?,Why
53,Why do birds sing?,Why
54,Why do we blink when we hear a loud noise?,Why
55,Why are human babies born so helpless?,Why
56,Why do some people believe in god?,Why
57,Why do cats purr?,Why
58,Why do we yell 'ow' or 'ouch' when we're hurt?,Why
59,Why does salt melt ice?,Why
60,Why do fingers wrinkle in water?,Why
61,Why do most people speak English?,Why
62,Why are leaves green?,Why
63,Why is sugar bad for you?,Why
64,Why do some people hate?,Why
65,Why does people's eye color vary?,Why
66,Why do men barbecue more than women?,Why
67,Why is the American flag red white and blue?,Why
68,Why are most people right handed?,Why
69,Why is the earth round?,Why
70,Why does the weather change?,Why
71,Why do many people hate exercise?,Why
72,Why are there more homeless men on the street than women?,Why
73,Why is there disease in the world?,Why
74,Why do we use money?,Why
75,Why do roses have thorns?,Why
76,Why do baked goods like cake and bread go hard if left out?,Why
77,Why do we have eyebrows?,Why
78,Why are barns red?,Why
79,Why do people get married?,Why
80,Why are stop signs hexagonal?,Why
81,Why do we point with our index fingers rather than another finger?,Why
82,Why is there so much salt in the ocean but not rivers?,Why
83,Why are clouds white?,Why
84,Why do pigeons and chickens bob their heads a lot?,Why
85,Why are ambulances white?,Why
86,Why does the same side of the moon always face the earth?,Why
87,Why does dessert come at the end of a meal?,Why
88,Why do many goldfish die so quickly?,Why
89,Why do languages change?,Why
90,Why don't spiders get stuck in their own webs?,Why
91,Why are portholes round?,Why
92,Why are some people mean?,Why
93,Why is blood red?,Why
94,Why do people overeat?,Why
95,Why do we yawn when others do?,Why
96,Why are there 24 hours in a day?,Why
97,Why do women live longer than men?,Why
98,Why is chocolate bad for dogs?,Why
99,Why are most deserts not on the equator if the equator gets the most sun?,Why
100,Why are firetrucks red?,Why
