question,questionText,questionType
1,How do rocket engines work?,How
2,How do birds fly?,How
3,How do ducks float?,How
4,How are books printed?,How
5,How are cartoons made?,How
6,How are diamonds formed?,How
7,How does nuclear deterrence work?,How
8,How do hurricanes form?,How
9,How are icicles formed?,How
10,How does Social Security work?,How
11,How are Nobel Prize laureates selected?,How
12,How do I make a cup of coffee?,How
13,How are broken bones fixed?,How
14,How do I file for tax return?,How
15,How do you make a paper airplane?,How
16,How do you make a peanut butter sandwich?,How
17,How do you tie shoelaces?,How
18,How does a crime scene investigator use DNA to solve a murder?,How
19,How do you rescue a cat from a tree?,How
20,How do you pick a lock?,How
21,How do I do a push-up?,How
22,How does a combination lock work?,How
23,How do I disable my smoke alarm?,How
24,How would you smuggle ham through airport security?,How
25,How do I reload printer paper?,How
26,How do I make schnitzel?,How
27,How do you prevent a sunburn?,How
28,How do you stop your finger from bleeding?,How
29,How do I clean a teapot?,How
30,How do I find a lost dog?,How
31,How do I change a flat tire?,How
32,How do I comfort a friend who is sad about a breakup?,How
33,How do I bake a tray of brownies?,How
34,How do you play a guitar?,How
35,How is milk produced?,How
36,How do I convince someone to buy a car?,How
37,How can I haggle prices at a market effectively?,How
38,How do I save someone who's choking?,How
39,How do I escape from a maze?,How
40,How do parents name their babies?,How
41,How do you remove salt from water?,How
42,How do languages get new words?,How
43,How do I train for a marathon?,How
44,How do I write a haiku?,How
45,How do fish breathe underwater?,How
46,How do camels survive in the desert?,How
47,How do you prevent the spread of a virus?,How
48,How do people find gold?,How
49,How do I make a martini?,How
50,How do I care for a houseplant?,How
